,Product_ID,Cluster
0,FUR-BO-10001798,2
1,FUR-CH-10000454,2
2,OFF-LA-10000240,0
3,FUR-TA-10000577,2
4,OFF-ST-10000760,0
5,FUR-FU-10001487,2
6,OFF-AR-10002833,0
7,TEC-PH-10002275,1
8,OFF-BI-10003910,3
9,OFF-AP-10002892,0
10,FUR-TA-10001539,2
11,TEC-PH-10002033,1
12,OFF-PA-10002365,0
13,OFF-BI-10003656,3
14,OFF-AP-10002311,0
15,OFF-BI-10000756,3
16,OFF-ST-10004186,0
17,OFF-ST-10000107,0
18,OFF-AR-10003056,0
19,TEC-PH-10001949,1
20,OFF-BI-10002215,3
21,OFF-AR-10000246,0
22,OFF-AP-10001492,0
23,FUR-CH-10002774,2
25,OFF-BI-10001634,3
26,TEC-AC-10003027,1
27,FUR-BO-10004834,2
28,OFF-BI-10000474,3
29,FUR-FU-10004848,2
30,OFF-EN-10001509,0
31,OFF-AR-10004042,0
32,OFF-BI-10001525,3
33,OFF-AR-10001683,0
34,OFF-PA-10000249,0
35,TEC-PH-10004977,1
36,FUR-FU-10003664,2
37,OFF-EN-10002986,0
38,FUR-BO-10002545,2
39,FUR-CH-10004218,2
40,TEC-PH-10000486,1
41,TEC-PH-10004093,1
42,OFF-ST-10003479,0
43,OFF-ST-10003282,0
44,TEC-AC-10000171,1
45,OFF-BI-10003291,3
46,OFF-ST-10001713,0
47,TEC-AC-10002167,1
48,TEC-PH-10003988,1
49,OFF-BI-10004410,3
50,OFF-LA-10002762,0
51,FUR-FU-10001706,2
52,FUR-CH-10003061,2
53,OFF-FA-10000304,0
54,TEC-PH-10002447,1
55,OFF-ST-10000604,0
56,OFF-PA-10001569,0
57,FUR-CH-10003968,2
58,OFF-PA-10000587,0
60,OFF-BI-10001460,3
61,OFF-AR-10001868,0
62,TEC-AC-10004633,1
63,OFF-BI-10001078,3
64,OFF-PA-10003892,0
65,FUR-FU-10000397,2
66,FUR-CH-10001146,2
67,OFF-AR-10002671,0
68,TEC-PH-10002726,1
69,OFF-PA-10000482,0
70,OFF-BI-10004654,3
71,OFF-PA-10004675,0
72,FUR-CH-10000513,2
73,FUR-FU-10003708,2
74,OFF-ST-10004123,0
75,OFF-BI-10004182,3
76,FUR-FU-10000260,2
77,OFF-ST-10000615,0
78,FUR-FU-10003194,2
79,OFF-AP-10002118,0
80,OFF-BI-10002309,3
81,OFF-AR-10002053,0
82,OFF-ST-10002370,0
83,OFF-EN-10000927,0
84,OFF-ST-10003656,0
85,FUR-CH-10000863,2
86,TEC-AC-10001998,1
87,OFF-LA-10000134,0
88,OFF-ST-10003442,0
89,OFF-AR-10004930,0
91,OFF-PA-10000304,0
92,OFF-PA-10003177,0
93,FUR-FU-10003799,2
94,OFF-BI-10002852,3
95,OFF-BI-10004738,3
96,FUR-FU-10000629,2
97,OFF-BI-10001721,3
98,OFF-AP-10000358,0
99,OFF-PA-10003256,0
100,TEC-AC-10001767,1
101,OFF-BI-10002609,3
102,OFF-PA-10004040,0
103,TEC-AC-10001552,1
104,FUR-FU-10004006,2
105,OFF-BI-10002794,3
106,TEC-AC-10003499,1
107,TEC-PH-10002844,1
108,OFF-AR-10000390,0
109,TEC-AC-10000844,1
110,FUR-FU-10001934,2
111,OFF-AR-10000380,0
112,OFF-BI-10003981,3
113,OFF-FA-10000621,0
114,OFF-EN-10002600,0
115,OFF-PA-10004965,0
116,OFF-EN-10002504,0
117,FUR-TA-10001768,2
118,OFF-BI-10003650,3
119,FUR-FU-10002157,2
121,OFF-ST-10000777,0
122,OFF-EN-10002500,0
123,TEC-PH-10003875,1
124,FUR-CH-10004063,2
125,FUR-TA-10004534,2
126,OFF-BI-10003274,3
127,OFF-ST-10002974,0
129,FUR-FU-10003773,2
130,TEC-PH-10002293,1
131,OFF-PA-10002377,0
132,OFF-FA-10002780,0
133,OFF-PA-10001804,0
134,OFF-PA-10001736,0
135,OFF-AR-10001149,0
136,OFF-FA-10002988,0
137,OFF-BI-10004781,3
138,OFF-SU-10001218,0
141,OFF-AR-10000940,0
142,OFF-EN-10004030,0
143,OFF-PA-10004327,0
144,OFF-AP-10001058,0
146,FUR-FU-10000521,2
147,TEC-PH-10000215,1
148,TEC-PH-10001448,1
150,OFF-BI-10002735,3
151,OFF-AP-10000326,0
152,TEC-PH-10001254,1
153,OFF-PA-10001950,0
154,OFF-PA-10002254,0
155,OFF-ST-10001590,0
156,OFF-AR-10001547,0
158,OFF-LA-10002475,0
159,TEC-PH-10004536,1
160,OFF-PA-10002751,0
161,TEC-AC-10003657,1
162,OFF-EN-10001990,0
163,OFF-BI-10004002,3
164,OFF-AR-10004441,0
165,TEC-MA-10000822,1
166,OFF-ST-10000991,0
167,FUR-CH-10004287,2
168,OFF-AR-10002656,0
169,OFF-AP-10002518,0
170,TEC-PH-10003931,1
171,OFF-PA-10000659,0
172,OFF-PA-10001144,0
173,FUR-CH-10003817,2
174,OFF-AP-10000891,0
175,OFF-LA-10003148,0
176,OFF-AP-10002684,0
177,FUR-CH-10004698,2
178,OFF-SU-10002189,0
179,OFF-AR-10001940,0
180,OFF-ST-10003455,0
181,TEC-AC-10004659,1
182,TEC-PH-10003273,1
183,TEC-PH-10004896,1
184,TEC-AC-10002345,1
185,OFF-BI-10001890,3
186,TEC-AC-10002323,1
187,OFF-ST-10001328,0
189,FUR-BO-10002613,2
190,TEC-PH-10001552,1
191,OFF-PA-10000061,0
193,OFF-AR-10003514,0
195,OFF-AR-10004685,0
196,OFF-AR-10004027,0
197,OFF-ST-10001414,0
198,OFF-BI-10000343,3
199,OFF-PA-10002749,0
200,OFF-PA-10002666,0
201,FUR-TA-10004289,2
202,OFF-AP-10003622,0
203,OFF-AP-10003217,0
204,FUR-FU-10002960,2
205,TEC-PH-10001918,1
206,OFF-ST-10000642,0
207,TEC-PH-10001700,1
209,OFF-FA-10000134,0
210,OFF-ST-10001522,0
211,TEC-AC-10001266,1
212,OFF-LA-10004544,0
213,FUR-BO-10004695,2
215,TEC-MA-10000864,1
216,TEC-AC-10000109,1
218,TEC-PH-10002563,1
219,OFF-FA-10000585,0
220,OFF-PA-10004000,0
222,FUR-FU-10000087,2
223,TEC-MA-10001148,1
224,OFF-AR-10001958,0
225,OFF-AR-10001026,0
226,FUR-TA-10003748,2
227,OFF-ST-10002485,0
228,FUR-CH-10004860,2
229,FUR-CH-10004477,2
